original_text,cleaned_text,tokens,lemmas
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",one of the other reviewers has mentioned that after watching just 1 oz episode you'll be hooked they are right as this is exactly what happened with me<br /><br />the first thing that struck me about oz was its brutality and unflinching scenes of violence which set in right from the word go trust me this is not a show for the faint hearted or timid this show pulls no punches with regards to drugs sex or violence its is hardcore in the classic use of the word<br /><br />it is called oz as that is the nickname given to the oswald maximum security state penitentary it focuses mainly on emerald city an experimental section of the prison where all the cells have glass fronts and face inwards so privacy is not high on the agenda em city is home to manyaryans muslims gangstas latinos christians italians irish and moreso scuffles death stares dodgy dealings and shady agreements are never far away<br /><br />i would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare forget pretty pictures painted for mainstream audiences forget charm forget romanceoz doesn't mess around the first episode i ever saw struck me as so nasty it was surreal i couldn't say i was ready for it but as i watched more i developed a taste for oz and got accustomed to the high levels of graphic violence not just violence but injustice (crooked guards who'll be sold out for a nickel inmates who'll kill on order and get away with it well mannered middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) watching oz you may become comfortable with what is uncomfortable viewingthats if you can get in touch with your darker side,"['reviewers', 'mentioned', 'watching', 'oz', 'episode', 'hooked', 'right', 'exactly', 'happened', 'br', 'thing', 'struck', 'oz', 'brutality', 'unflinching', 'scenes', 'violence', 'set', 'right', 'word', 'trust', 'faint', 'hearted', 'timid', 'pulls', 'punches', 'regards', 'drugs', 'sex', 'violence', 'hardcore', 'classic', 'use', 'word', 'br', 'called', 'oz', 'nickname', 'given', 'oswald', 'maximum', 'security', 'state', 'penitentary', 'focuses', 'mainly', 'emerald', 'city', 'experimental', 'section', 'prison', 'cells', 'glass', 'fronts', 'face', 'inwards', 'privacy', 'high', 'agenda', 'em', 'city', 'home', 'manyaryans', 'muslims', 'gangstas', 'latinos', 'christians', 'italians', 'irish', 'moreso', 'scuffles', 'death', 'stares', 'dodgy', 'dealings', 'shady', 'agreements', 'far', 'away', 'br', 'main', 'appeal', 'fact', 'goes', 'shows', 'dare', 'forget', 'pretty', 'pictures', 'painted', 'mainstream', 'audiences', 'forget', 'charm', 'forget', 'romanceoz', 'mess', 'episode', 'saw', 'struck', 'nasty', 'surreal', 'ready', 'watched', 'developed', 'taste', 'oz', 'got', 'accustomed', 'high', 'levels', 'graphic', 'violence', 'violence', 'injustice', 'crooked', 'guards', 'sold', 'nickel', 'inmates', 'kill', 'order', 'away', 'mannered', 'middle', 'class', 'inmates', 'turned', 'prison', 'bitches', 'lack', 'street', 'skills', 'prison', 'experience', 'watching', 'oz', 'comfortable', 'uncomfortable', 'viewingthats', 'touch', 'darker']","['reviewer', 'mention', 'watch', 'oz', 'episode', 'hook', 'right', 'exactly', 'happen', 'br', 'thing', 'strike', 'oz', 'brutality', 'unflinche', 'scene', 'violence', 'set', 'right', 'word', 'trust', 'faint', 'hearted', 'timid', 'pull', 'punch', 'regard', 'drug', 'sex', 'violence', 'hardcore', 'classic', 'use', 'word', 'br', 'call', 'oz', 'nickname', 'give', 'oswald', 'maximum', 'security', 'state', 'penitentary', 'focus', 'mainly', 'emerald', 'city', 'experimental', 'section', 'prison', 'cell', 'glass', 'front', 'face', 'inward', 'privacy', 'high', 'agenda', 'em', 'city', 'home', 'manyaryan', 'muslims', 'gangstas', 'latinos', 'christians', 'italian', 'irish', 'moreso', 'scuffle', 'death', 'stare', 'dodgy', 'dealing', 'shady', 'agreement', 'far', 'away', 'br', 'main', 'appeal', 'fact', 'go', 'show', 'dare', 'forget', 'pretty', 'picture', 'paint', 'mainstream', 'audience', 'forget', 'charm', 'forget', 'romanceoz', 'mess', 'episode', 'see', 'strike', 'nasty', 'surreal', 'ready', 'watch', 'develop', 'taste', 'oz', 'get', 'accustom', 'high', 'level', 'graphic', 'violence', 'violence', 'injustice', 'crooked', 'guard', 'sell', 'nickel', 'inmate', 'kill', 'order', 'away', 'mannered', 'middle', 'class', 'inmate', 'turn', 'prison', 'bitch', 'lack', 'street', 'skill', 'prison', 'experience', 'watch', 'oz', 'comfortable', 'uncomfortable', 'viewingthat', 'touch', 'dark']"
"A wonderful little production. <br /><br />The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. <br /><br />The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. <br /><br />The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.","a wonderful little production <br /><br />the filming technique is very unassuming- very old-time-bbc fashion and gives a comforting and sometimes discomforting sense of realism to the entire piece <br /><br />the actors are extremely well chosen- michael sheen not only ""has got all the polari"" but he has all the voices down pat too you can truly see the seamless editing guided by the references to williams' diary entries not only is it well worth the watching but it is a terrificly written and performed piece a masterful production about one of the great master's of comedy and his life <br /><br />the realism really comes home with the little things: the fantasy of the guard which rather than use the traditional 'dream' techniques remains solid then disappears it plays on our knowledge and our senses particularly with the scenes concerning orton and halliwell and the sets (particularly of their flat with halliwell's murals decorating every surface) are terribly well done","['wonderful', 'little', 'production', 'br', 'filming', 'technique', 'old', 'time', 'bbc', 'fashion', 'gives', 'comforting', 'discomforting', 'sense', 'realism', 'entire', 'piece', 'br', 'actors', 'extremely', 'michael', 'sheen', 'got', 'polari', 'voices', 'pat', 'truly', 'seamless', 'editing', 'guided', 'references', 'williams', 'diary', 'entries', 'worth', 'watching', 'terrificly', 'written', 'performed', 'piece', 'masterful', 'production', 'great', 'master', 'comedy', 'life', 'br', 'realism', 'comes', 'home', 'little', 'things', 'fantasy', 'guard', 'use', 'traditional', 'dream', 'techniques', 'remains', 'solid', 'disappears', 'plays', 'knowledge', 'senses', 'particularly', 'scenes', 'concerning', 'orton', 'halliwell', 'sets', 'particularly', 'flat', 'halliwell', 'murals', 'decorating', 'surface', 'terribly']","['wonderful', 'little', 'production', 'br', 'filming', 'technique', 'old', 'time', 'bbc', 'fashion', 'give', 'comfort', 'discomforte', 'sense', 'realism', 'entire', 'piece', 'br', 'actor', 'extremely', 'michael', 'sheen', 'get', 'polari', 'voice', 'pat', 'truly', 'seamless', 'editing', 'guide', 'reference', 'williams', 'diary', 'entry', 'worth', 'watching', 'terrificly', 'write', 'perform', 'piece', 'masterful', 'production', 'great', 'master', 'comedy', 'life', 'br', 'realism', 'come', 'home', 'little', 'thing', 'fantasy', 'guard', 'use', 'traditional', 'dream', 'technique', 'remain', 'solid', 'disappear', 'play', 'knowledge', 'sense', 'particularly', 'scene', 'concern', 'orton', 'halliwell', 'set', 'particularly', 'flat', 'halliwell', 'mural', 'decorate', 'surface', 'terribly']"
"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.<br /><br />This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.<br /><br />This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.","i thought this was a wonderful way to spend time on a too hot summer weekend sitting in the air conditioned theater and watching a light-hearted comedy the plot is simplistic but the dialogue is witty and the characters are likable (even the well bread suspected serial killer) while some may be disappointed when they realize this is not match point 2: risk addiction i thought it was proof that woody allen is still fully in control of the style many of us have grown to love<br /><br />this was the most i'd laughed at one of woody's comedies in years (dare i say a decade) while i've never been impressed with scarlet johanson in this she managed to tone down her ""sexy"" image and jumped right into a average but spirited young woman<br /><br />this may not be the crown jewel of his career but it was wittier than ""devil wears prada"" and more interesting than ""superman"" a great comedy to go see with friends","['thought', 'wonderful', 'way', 'spend', 'time', 'hot', 'summer', 'weekend', 'sitting', 'air', 'conditioned', 'theater', 'watching', 'light', 'hearted', 'comedy', 'plot', 'simplistic', 'dialogue', 'witty', 'characters', 'likable', 'bread', 'suspected', 'serial', 'killer', 'disappointed', 'realize', 'match', 'point', 'risk', 'addiction', 'thought', 'proof', 'woody', 'allen', 'fully', 'control', 'style', 'grown', 'love', 'br', 'laughed', 'woody', 'comedies', 'years', 'dare', 'decade', 'impressed', 'scarlet', 'johanson', 'managed', 'tone', 'sexy', 'image', 'jumped', 'right', 'average', 'spirited', 'young', 'woman', 'br', 'crown', 'jewel', 'career', 'wittier', 'devil', 'wears', 'prada', 'interesting', 'superman', 'great', 'comedy', 'friends']","['think', 'wonderful', 'way', 'spend', 'time', 'hot', 'summer', 'weekend', 'sit', 'air', 'condition', 'theater', 'watch', 'light', 'hearted', 'comedy', 'plot', 'simplistic', 'dialogue', 'witty', 'character', 'likable', 'bread', 'suspect', 'serial', 'killer', 'disappoint', 'realize', 'match', 'point', 'risk', 'addiction', 'think', 'proof', 'woody', 'allen', 'fully', 'control', 'style', 'grow', 'love', 'br', 'laugh', 'woody', 'comedy', 'year', 'dare', 'decade', 'impress', 'scarlet', 'johanson', 'manage', 'tone', 'sexy', 'image', 'jump', 'right', 'average', 'spirited', 'young', 'woman', 'br', 'crown', 'jewel', 'career', 'witty', 'devil', 'wear', 'prada', 'interesting', 'superman', 'great', 'comedy', 'friend']"
"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",basically there's a family where a little boy (jake) thinks there's a zombie in his closet & his parents are fighting all the time<br /><br />this movie is slower than a soap opera and suddenly jake decides to become rambo and kill the zombie<br /><br />ok first of all when you're going to make a film you must decide if its a thriller or a drama as a drama the movie is watchable parents are divorcing & arguing like in real life and then we have jake with his closet which totally ruins all the film i expected to see a boogeyman similar movie and instead i watched a drama with some meaningless thriller spots<br /><br />3 out of 10 just for the well playing parents & descent dialogs as for the shots with jake: just ignore them,"['basically', 'family', 'little', 'boy', 'jake', 'thinks', 'zombie', 'closet', 'parents', 'fighting', 'time', 'br', 'movie', 'slower', 'soap', 'opera', 'suddenly', 'jake', 'decides', 'rambo', 'kill', 'zombie', 'br', 'going', 'film', 'decide', 'thriller', 'drama', 'drama', 'movie', 'watchable', 'parents', 'divorcing', 'arguing', 'like', 'real', 'life', 'jake', 'closet', 'totally', 'ruins', 'film', 'expected', 'boogeyman', 'similar', 'movie', 'instead', 'watched', 'drama', 'meaningless', 'thriller', 'spots', 'br', 'playing', 'parents', 'descent', 'dialogs', 'shots', 'jake', 'ignore']","['basically', 'family', 'little', 'boy', 'jake', 'think', 'zombie', 'closet', 'parent', 'fight', 'time', 'br', 'movie', 'slow', 'soap', 'opera', 'suddenly', 'jake', 'decide', 'rambo', 'kill', 'zombie', 'br', 'go', 'film', 'decide', 'thriller', 'drama', 'drama', 'movie', 'watchable', 'parent', 'divorce', 'argue', 'like', 'real', 'life', 'jake', 'closet', 'totally', 'ruin', 'film', 'expect', 'boogeyman', 'similar', 'movie', 'instead', 'watch', 'drama', 'meaningless', 'thriller', 'spot', 'br', 'play', 'parent', 'descent', 'dialog', 'shot', 'jake', 'ignore']"
"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. <br /><br />This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.<br /><br />The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.<br /><br />The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.<br /><br />We wish Mr. Mattei good luck and await anxiously for his next work.","petter mattei's ""love in the time of money"" is a visually stunning film to watch mr mattei offers us a vivid portrait about human relations this is a movie that seems to be telling us what money power and success do to people in the different situations we encounter <br /><br />this being a variation on the arthur schnitzler's play about the same theme the director transfers the action to the present time new york where all these different characters meet and connect each one is connected in one way or another to the next person but no one seems to know the previous point of contact stylishly the film has a sophisticated luxurious look we are taken to see how these people live and the world they live in their own habitat<br /><br />the only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits a big city is not exactly the best place in which human relations find sincere fulfillment as one discerns is the case with most of the people we encounter<br /><br />the acting is good under mr mattei's direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier and the rest of the talented cast make these characters come alive<br /><br />we wish mr mattei good luck and await anxiously for his next work","['petter', 'mattei', 'love', 'time', 'money', 'visually', 'stunning', 'film', 'watch', 'mr', 'mattei', 'offers', 'vivid', 'portrait', 'human', 'relations', 'movie', 'telling', 'money', 'power', 'success', 'people', 'different', 'situations', 'encounter', 'br', 'variation', 'arthur', 'schnitzler', 'play', 'theme', 'director', 'transfers', 'action', 'present', 'time', 'new', 'york', 'different', 'characters', 'meet', 'connect', 'connected', 'way', 'person', 'know', 'previous', 'point', 'contact', 'stylishly', 'film', 'sophisticated', 'luxurious', 'look', 'taken', 'people', 'live', 'world', 'live', 'habitat', 'br', 'thing', 'gets', 'souls', 'picture', 'different', 'stages', 'loneliness', 'inhabits', 'big', 'city', 'exactly', 'best', 'place', 'human', 'relations', 'find', 'sincere', 'fulfillment', 'discerns', 'case', 'people', 'encounter', 'br', 'acting', 'good', 'mr', 'mattei', 'direction', 'steve', 'buscemi', 'rosario', 'dawson', 'carol', 'kane', 'michael', 'imperioli', 'adrian', 'grenier', 'rest', 'talented', 'cast', 'characters', 'come', 'alive', 'br', 'wish', 'mr', 'mattei', 'good', 'luck', 'await', 'anxiously', 'work']","['petter', 'mattei', 'love', 'time', 'money', 'visually', 'stunning', 'film', 'watch', 'mr', 'mattei', 'offer', 'vivid', 'portrait', 'human', 'relation', 'movie', 'tell', 'money', 'power', 'success', 'people', 'different', 'situation', 'encounter', 'br', 'variation', 'arthur', 'schnitzler', 'play', 'theme', 'director', 'transfer', 'action', 'present', 'time', 'new', 'york', 'different', 'character', 'meet', 'connect', 'connect', 'way', 'person', 'know', 'previous', 'point', 'contact', 'stylishly', 'film', 'sophisticated', 'luxurious', 'look', 'take', 'people', 'live', 'world', 'live', 'habitat', 'br', 'thing', 'get', 'soul', 'picture', 'different', 'stage', 'loneliness', 'inhabit', 'big', 'city', 'exactly', 'good', 'place', 'human', 'relation', 'find', 'sincere', 'fulfillment', 'discern', 'case', 'people', 'encounter', 'br', 'acting', 'good', 'mr', 'mattei', 'direction', 'steve', 'buscemi', 'rosario', 'dawson', 'carol', 'kane', 'michael', 'imperioli', 'adrian', 'grenier', 'rest', 'talented', 'cast', 'character', 'come', 'alive', 'br', 'wish', 'mr', 'mattei', 'good', 'luck', 'await', 'anxiously', 'work']"
"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.","probably my all-time favorite movie a story of selflessness sacrifice and dedication to a noble cause but it's not preachy or boring it just never gets old despite my having seen it some 15 or more times in the last 25 years paul lukas' performance brings tears to my eyes and bette davis in one of her very few truly sympathetic roles is a delight the kids are as grandma says more like ""dressed-up midgets"" than children but that only makes them more fun to watch and the mother's slow awakening to what's happening in the world and under her own roof is believable and startling if i had a dozen thumbs they'd all be ""up"" for this movie","['probably', 'time', 'favorite', 'movie', 'story', 'selflessness', 'sacrifice', 'dedication', 'noble', 'cause', 'preachy', 'boring', 'gets', 'old', 'despite', 'having', 'seen', 'times', 'years', 'paul', 'lukas', 'performance', 'brings', 'tears', 'eyes', 'bette', 'davis', 'truly', 'sympathetic', 'roles', 'delight', 'kids', 'grandma', 'says', 'like', 'dressed', 'midgets', 'children', 'makes', 'fun', 'watch', 'mother', 'slow', 'awakening', 'happening', 'world', 'roof', 'believable', 'startling', 'dozen', 'thumbs', 'movie']","['probably', 'time', 'favorite', 'movie', 'story', 'selflessness', 'sacrifice', 'dedication', 'noble', 'cause', 'preachy', 'bore', 'get', 'old', 'despite', 'having', 'see', 'time', 'year', 'paul', 'lukas', 'performance', 'bring', 'tear', 'eye', 'bette', 'davis', 'truly', 'sympathetic', 'role', 'delight', 'kid', 'grandma', 'say', 'like', 'dress', 'midget', 'child', 'make', 'fun', 'watch', 'mother', 'slow', 'awakening', 'happen', 'world', 'roof', 'believable', 'startling', 'dozen', 'thumb', 'movie']"
"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submit,or leave me out to be in doubt and have me to quit,If this is so then I must go so lets do it.",i sure would like to see a resurrection of a up dated seahunt series with the tech they have today it would bring back the kid excitement in mei grew up on black and white tv and seahunt with gunsmoke were my hero's every weekyou have my vote for a comeback of a new sea huntwe need a change of pace in tv and this would work for a world of under water adventureoh by the way thank you for an outlet like this to view many viewpoints about tv and the many moviesso any ole way i believe i've got what i wanna saywould be nice to read some more plus points about sea huntif my rhymes would be 10 lines would you let me submitor leave me out to be in doubt and have me to quitif this is so then i must go so lets do it,"['sure', 'like', 'resurrection', 'dated', 'seahunt', 'series', 'tech', 'today', 'bring', 'kid', 'excitement', 'mei', 'grew', 'black', 'white', 'tv', 'seahunt', 'gunsmoke', 'hero', 'weekyou', 'vote', 'comeback', 'new', 'sea', 'huntwe', 'need', 'change', 'pace', 'tv', 'work', 'world', 'water', 'adventureoh', 'way', 'thank', 'outlet', 'like', 'view', 'viewpoints', 'tv', 'moviesso', 'ole', 'way', 'believe', 'got', 'wanna', 'saywould', 'nice', 'read', 'plus', 'points', 'sea', 'huntif', 'rhymes', 'lines', 'let', 'submitor', 'leave', 'doubt', 'quitif', 'lets']","['sure', 'like', 'resurrection', 'date', 'seahunt', 'series', 'tech', 'today', 'bring', 'kid', 'excitement', 'mei', 'grow', 'black', 'white', 'tv', 'seahunt', 'gunsmoke', 'hero', 'weekyou', 'vote', 'comeback', 'new', 'sea', 'huntwe', 'need', 'change', 'pace', 'tv', 'work', 'world', 'water', 'adventureoh', 'way', 'thank', 'outlet', 'like', 'view', 'viewpoint', 'tv', 'moviesso', 'ole', 'way', 'believe', 'get', 'wanna', 'saywould', 'nice', 'read', 'plus', 'point', 'sea', 'huntif', 'rhyme', 'line', 'let', 'submitor', 'leave', 'doubt', 'quitif', 'let']"
"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that. By 1990, the show was not really funny anymore, and it's continued its decline further to the complete waste of time it is today.<br /><br />It's truly disgraceful how far this show has fallen. The writing is painfully bad, the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts, this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity? I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now, the show is just awful. I can't believe it's still on the air.",this show was an amazing fresh & innovative idea in the 70's when it first aired the first 7 or 8 years were brilliant but things dropped off after that by 1990 the show was not really funny anymore and it's continued its decline further to the complete waste of time it is today<br /><br />it's truly disgraceful how far this show has fallen the writing is painfully bad the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts this show probably wouldn't still be on the air i find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed how can one recognize such brilliance and then see fit to replace it with such mediocrity i felt i must give 2 stars out of respect for the original cast that made this show such a huge success as it is now the show is just awful i can't believe it's still on the air,"['amazing', 'fresh', 'innovative', 'idea', 'aired', 'years', 'brilliant', 'things', 'dropped', 'funny', 'anymore', 'continued', 'decline', 'complete', 'waste', 'time', 'today', 'br', 'truly', 'disgraceful', 'far', 'fallen', 'writing', 'painfully', 'bad', 'performances', 'bad', 'mildly', 'entertaining', 'respite', 'guest', 'hosts', 'probably', 'air', 'find', 'hard', 'believe', 'creator', 'hand', 'selected', 'original', 'cast', 'chose', 'band', 'hacks', 'followed', 'recognize', 'brilliance', 'fit', 'replace', 'mediocrity', 'felt', 'stars', 'respect', 'original', 'cast', 'huge', 'success', 'awful', 'believe', 'air']","['amazing', 'fresh', 'innovative', 'idea', 'air', 'year', 'brilliant', 'thing', 'drop', 'funny', 'anymore', 'continue', 'decline', 'complete', 'waste', 'time', 'today', 'br', 'truly', 'disgraceful', 'far', 'fall', 'writing', 'painfully', 'bad', 'performance', 'bad', 'mildly', 'entertaining', 'respite', 'guest', 'host', 'probably', 'air', 'find', 'hard', 'believe', 'creator', 'hand', 'select', 'original', 'cast', 'choose', 'band', 'hack', 'follow', 'recognize', 'brilliance', 'fit', 'replace', 'mediocrity', 'feel', 'star', 'respect', 'original', 'cast', 'huge', 'success', 'awful', 'believe', 'air']"
"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",encouraged by the positive comments about this film on here i was looking forward to watching this film bad mistake i've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing pacing storyline 'acting' soundtrack (the film's only song - a lame country tune - is played no less than four times) the film looks cheap and nasty and is boring in the extreme rarely have i been so happy to see the end credits of a film <br /><br />the only thing that prevents me giving this a 1-score is harvey keitel - while this is far from his best performance he at least seems to be making a bit of an effort one for keitel obsessives only,"['encouraged', 'positive', 'comments', 'film', 'looking', 'forward', 'watching', 'film', 'bad', 'mistake', 'seen', 'films', 'truly', 'worst', 'awful', 'way', 'editing', 'pacing', 'storyline', 'acting', 'soundtrack', 'film', 'song', 'lame', 'country', 'tune', 'played', 'times', 'film', 'looks', 'cheap', 'nasty', 'boring', 'extreme', 'rarely', 'happy', 'end', 'credits', 'film', 'br', 'thing', 'prevents', 'giving', 'score', 'harvey', 'keitel', 'far', 'best', 'performance', 'making', 'bit', 'effort', 'keitel', 'obsessives']","['encourage', 'positive', 'comment', 'film', 'look', 'forward', 'watch', 'film', 'bad', 'mistake', 'see', 'film', 'truly', 'bad', 'awful', 'way', 'edit', 'pace', 'storyline', 'acting', 'soundtrack', 'film', 'song', 'lame', 'country', 'tune', 'play', 'time', 'film', 'look', 'cheap', 'nasty', 'boring', 'extreme', 'rarely', 'happy', 'end', 'credit', 'film', 'br', 'thing', 'prevent', 'give', 'score', 'harvey', 'keitel', 'far', 'good', 'performance', 'make', 'bit', 'effort', 'keitel', 'obsessive']"
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",if you like original gut wrenching laughter you will like this movie if you are young or old then you will love this movie hell even my mom liked it<br /><br />great camp,"['like', 'original', 'gut', 'wrenching', 'laughter', 'like', 'movie', 'young', 'old', 'love', 'movie', 'hell', 'mom', 'liked', 'br', 'camp']","['like', 'original', 'gut', 'wrench', 'laughter', 'like', 'movie', 'young', 'old', 'love', 'movie', 'hell', 'mom', 'like', 'br', 'camp']"
